id,Nachname,Vorname,Klassenstufe,Schule,Name der Mathematiklehrkraft,Vormittagskurs Erstwunsch,Vormittagskurs Zweitwunsch,Nachmittagskurs Erstwunsch,Nachmittagskurs Zweitwunsch
18,Schmidt,Eva,10,Leibniz-Gymnasium,Meyer,Workshop 1,Workshop 2,Workshop 5,Workshop 6
19,Schmidt,Lukas,10,Schiller-Schule,Schneider,Workshop 2,Workshop 2,Workshop 5,Workshop 5
20,Meier,Lukas,11,Schiller-Schule,Fischer,Workshop 2,Workshop 1,Workshop 5,Workshop 6
21,Becker,Eva,10,Leibniz-Gymnasium,Schneider,Workshop 2,Workshop 3,Workshop 5,Workshop 5
22,Wagner,Anna,11,Goethe-Gymnasium,Fischer,Workshop 1,Workshop 2,Workshop 6,Workshop 4
23,Schmidt,Noah,10,Kant-Gymnasium,Meyer,Workshop 2,Workshop 1,Workshop 6,Workshop 6
24,Mustermann,Emma,11,Goethe-Gymnasium,Schneider,Workshop 2,Workshop 1,Workshop 6,Workshop 5
25,Musterfrau,Lina,11,Schiller-Schule,Meyer,Workshop 3,Workshop 2,Workshop 4,Workshop 4
26,Meyer,Max,11,Schiller-Schule,Schneider,Workshop 3,Workshop 2,Workshop 4,Workshop 4
27,Wagner,Emma,10,Schiller-Schule,Schmidt,Workshop 3,Workshop 3,Workshop 5,Workshop 4
28,Mustermann,Mia,11,Leibniz-Gymnasium,Müller,Workshop 3,Workshop 2,Workshop 4,Workshop 4
29,Schneider,Noah,12,Kant-Gymnasium,Schmidt,Workshop 2,Workshop 3,Workshop 4,Workshop 4
30,Schmidt,Emma,12,Goethe-Gymnasium,Schneider,Workshop 2,Workshop 1,Workshop 4,Workshop 5
31,Fischer,Lukas,9,Goethe-Gymnasium,Fischer,Workshop 2,Workshop 2,Workshop 6,Workshop 6
32,Meier,Lukas,9,Kant-Gymnasium,Meyer,Workshop 3,Workshop 1,Workshop 5,Workshop 6
33,Musterfrau,Leon,9,Faust-Gymnasium,Meyer,Workshop 2,Workshop 3,Workshop 4,Workshop 6
34,Schmidt,Paul,11,Schiller-Schule,Schneider,Workshop 3,Workshop 3,Workshop 4,Workshop 4
35,Schneider,Paul,10,Leibniz-Gymnasium,Schneider,Workshop 3,Workshop 2,Workshop 4,Workshop 5
36,Weber,Max,10,Goethe-Gymnasium,Schneider,Workshop 1,Workshop 2,Workshop 6,Workshop 6
37,Schmidt,Lukas,9,Leibniz-Gymnasium,Schmidt,Workshop 3,Workshop 1,Workshop 6,Workshop 6
38,Fischer,Lina,9,Kant-Gymnasium,Fischer,Workshop 1,Workshop 3,Workshop 4,Workshop 6
39,Schneider,Leon,12,Schiller-Schule,Schneider,Workshop 3,Workshop 3,Workshop 5,Workshop 4
40,Fischer,Mia,12,Leibniz-Gymnasium,Fischer,Workshop 1,Workshop 1,Workshop 6,Workshop 6
41,Schmidt,Lina,12,Faust-Gymnasium,Meyer,Workshop 2,Workshop 1,Workshop 5,Workshop 6
42,Fischer,Emma,12,Goethe-Gymnasium,Müller,Workshop 3,Workshop 1,Workshop 5,Workshop 5
43,Meier,Anna,9,Faust-Gymnasium,Schmidt,Workshop 1,Workshop 1,Workshop 6,Workshop 4
44,Fischer,Noah,10,Goethe-Gymnasium,Fischer,Workshop 3,Workshop 1,Workshop 5,Workshop 6
45,Wagner,Leon,12,Goethe-Gymnasium,Müller,Workshop 2,Workshop 3,Workshop 6,Workshop 5
46,Weber,Lina,10,Leibniz-Gymnasium,Schneider,Workshop 1,Workshop 2,Workshop 5,Workshop 4
47,Mustermann,Max,9,Goethe-Gymnasium,Schneider,Workshop 2,Workshop 3,Workshop 6,Workshop 5
48,Meyer,Leon,11,Goethe-Gymnasium,Meyer,Workshop 1,Workshop 1,Workshop 5,Workshop 5
49,Mustermann,Anna,12,Schiller-Schule,Meyer,Workshop 3,Workshop 2,Workshop 5,Workshop 4
50,Wagner,Anna,10,Goethe-Gymnasium,Müller,Workshop 1,Workshop 2,Workshop 6,Workshop 5
51,Weber,Lukas,9,Leibniz-Gymnasium,Fischer,Workshop 1,Workshop 3,Workshop 4,Workshop 4
52,Weber,Noah,10,Goethe-Gymnasium,Schmidt,Workshop 1,Workshop 3,Workshop 4,Workshop 6
53,Schneider,Noah,9,Goethe-Gymnasium,Meyer,Workshop 2,Workshop 1,Workshop 4,Workshop 5
54,Musterfrau,Emma,9,Goethe-Gymnasium,Schmidt,Workshop 2,Workshop 2,Workshop 6,Workshop 6
55,Schneider,Eva,10,Leibniz-Gymnasium,Schmidt,Workshop 3,Workshop 3,Workshop 5,Workshop 4
56,Mustermann,Emma,9,Goethe-Gymnasium,Fischer,Workshop 2,Workshop 2,Workshop 4,Workshop 5
57,Schneider,Leon,9,Goethe-Gymnasium,Schmidt,Workshop 2,Workshop 1,Workshop 6,Workshop 4
58,Meyer,Leon,11,Leibniz-Gymnasium,Müller,Workshop 1,Workshop 3,Workshop 6,Workshop 4
59,Weber,Noah,11,Faust-Gymnasium,Schneider,Workshop 2,Workshop 1,Workshop 6,Workshop 4
60,Meyer,Eva,11,Leibniz-Gymnasium,Schneider,Workshop 3,Workshop 2,Workshop 5,Workshop 6
61,Weber,Paul,9,Faust-Gymnasium,Schmidt,Workshop 1,Workshop 3,Workshop 5,Workshop 4
62,Weber,Anna,11,Schiller-Schule,Meyer,Workshop 2,Workshop 1,Workshop 5,Workshop 6
63,Becker,Leon,11,Schiller-Schule,Fischer,Workshop 1,Workshop 3,Workshop 6,Workshop 4
64,Schneider,Mia,9,Faust-Gymnasium,Schneider,Workshop 1,Workshop 3,Workshop 4,Workshop 5
65,Meier,Emma,11,Goethe-Gymnasium,Fischer,Workshop 3,Workshop 2,Workshop 6,Workshop 6
66,Weber,Leon,10,Goethe-Gymnasium,Müller,Workshop 3,Workshop 2,Workshop 5,Workshop 4
67,Weber,Paul,11,Schiller-Schule,Fischer,Workshop 2,Workshop 1,Workshop 4,Workshop 4
68,Meyer,Lukas,11,Goethe-Gymnasium,Müller,Workshop 2,Workshop 3,Workshop 5,Workshop 4
69,Weber,Lina,9,Schiller-Schule,Schneider,Workshop 3,Workshop 1,Workshop 5,Workshop 5
70,Weber,Paul,12,Kant-Gymnasium,Schneider,Workshop 1,Workshop 3,Workshop 5,Workshop 5
71,Meier,Leon,12,Kant-Gymnasium,Müller,Workshop 3,Workshop 2,Workshop 4,Workshop 4
72,Mustermann,Mia,11,Schiller-Schule,Schmidt,Workshop 2,Workshop 2,Workshop 5,Workshop 4
73,Meyer,Mia,10,Schiller-Schule,Müller,Workshop 3,Workshop 1,Workshop 6,Workshop 5
74,Schmidt,Leon,9,Goethe-Gymnasium,Schmidt,Workshop 3,Workshop 1,Workshop 4,Workshop 6
75,Wagner,Max,12,Faust-Gymnasium,Meyer,Workshop 2,Workshop 3,Workshop 4,Workshop 4
76,Becker,Lukas,11,Schiller-Schule,Schneider,Workshop 2,Workshop 2,Workshop 5,Workshop 4
77,Wagner,Lina,10,Leibniz-Gymnasium,Schmidt,Workshop 3,Workshop 3,Workshop 4,Workshop 4
78,Schmidt,Mia,9,Kant-Gymnasium,Schneider,Workshop 1,Workshop 3,Workshop 4,Workshop 6
79,Musterfrau,Lina,12,Kant-Gymnasium,Fischer,Workshop 1,Workshop 1,Workshop 4,Workshop 4
